clustering,assortativity,transitivity,modularity,degree mean,degree std,nodes,edges,shortest path,genres
0.6,0.49,0.47,0.33,0.27,0.27,0.2,0.13,0.24,Adventure
0.58,0.39,0.42,0.27,0.21,0.26,0.2,0.11,0.27,Action
0.72,0.54,0.4,0.46,0.27,0.32,0.31,0.18,0.28,Action
0.31,0.24,0.23,0.13,0.03,0.06,0.03,0.01,0.2,Action
0.65,0.57,0.56,0.37,0.48,0.55,0.4,0.36,0.26,Crime
0.64,0.23,0.29,0.15,0.15,0.25,0.13,0.06,0.17,Action
0.67,0.37,0.36,0.22,0.24,0.33,0.21,0.12,0.17,Comedy
0.53,0.36,0.26,0.25,0.07,0.11,0.07,0.02,0.2,Drama
0.42,0.38,0.09,0.48,0.1,0.36,0.35,0.11,0.28,Drama
0.32,0.44,0.28,0.54,0.08,0.14,0.16,0.05,0.4,Drama
0.38,0.41,0.2,0.46,0.09,0.22,0.3,0.09,0.44,Action
0.7,0.35,0.29,0.32,0.15,0.27,0.19,0.08,0.2,Action
0.67,0.37,0.16,0.31,0.2,0.5,0.42,0.2,0.21,Comedy
0.68,0.36,0.49,0.13,0.17,0.12,0.08,0.05,0.16,Drama
0.71,0.43,0.28,0.46,0.19,0.3,0.3,0.14,0.3,Comedy
0.54,0.38,0.29,0.3,0.26,0.44,0.34,0.19,0.22,Comedy
0.52,0.49,0.7,0.12,0.27,0.13,0.06,0.05,0.1,Comedy
0.8,0.52,0.7,0.42,0.51,0.67,0.44,0.41,0.22,Biography
0.83,0.55,0.39,0.4,0.45,0.59,0.53,0.44,0.26,Comedy
0.67,0.46,0.69,0.23,0.42,0.54,0.32,0.26,0.24,Action
0.71,0.3,0.21,0.27,0.18,0.36,0.3,0.14,0.3,Action
0.77,0.38,0.76,0.06,0.29,0.18,0.07,0.06,0.09,Crime
0.69,0.51,0.24,0.42,0.12,0.22,0.25,0.09,0.33,Drama
0.82,0.46,0.22,0.65,0.14,0.35,0.31,0.12,0.23,Crime
0.4,0.63,0.36,0.69,0.1,0.11,0.17,0.06,0.4,Drama
0.54,0.36,0.35,0.2,0.17,0.25,0.17,0.08,0.24,Crime
0.41,0.39,0.3,0.39,0.1,0.15,0.15,0.05,0.32,Biography
0.65,0.55,0.42,0.52,0.38,0.46,0.41,0.3,0.21,Biography
0.45,0.44,0.27,0.46,0.1,0.08,0.08,0.03,0.24,Horror
