clustering,assortativity,transitivity,modularity,degree mean,degree std,nodes,edges,shortest path,genres
0.67,0.45,0.34,0.32,0.22,0.31,0.25,0.13,0.29,Action
0.79,0.71,0.69,0.19,0.34,0.17,0.11,0.1,0.15,Action
0.47,0.47,0.38,0.35,0.16,0.27,0.24,0.1,0.33,Drama
0.63,0.45,0.38,0.38,0.41,0.6,0.5,0.38,0.25,Action
0.75,0.5,0.28,0.54,0.22,0.42,0.45,0.22,0.29,Comedy
0.42,0.37,0.21,0.44,0.15,0.34,0.43,0.17,0.39,Crime
0.92,0.37,0.32,0.31,0.28,0.47,0.39,0.23,0.31,Comedy
0.69,0.46,0.24,0.44,0.17,0.32,0.26,0.12,0.22,Crime
0.53,0.38,0.28,0.27,0.22,0.41,0.35,0.18,0.26,Drama
0.76,0.39,0.53,0.25,0.51,0.63,0.39,0.37,0.21,Action
0.79,0.46,0.43,0.34,0.38,0.55,0.41,0.3,0.21,Comedy
0.71,0.35,0.37,0.26,0.17,0.21,0.12,0.06,0.16,Drama
0.7,0.56,0.57,0.48,0.51,0.4,0.26,0.26,0.16,Comedy
0.79,0.54,0.64,0.34,0.87,0.79,0.45,0.65,0.16,Biography
0,0.24,0.17,0.53,0.05,0.17,0.22,0.05,0.42,Comedy
0.69,0.46,0.29,0.53,0.27,0.44,0.42,0.24,0.28,Biography
0.63,0.25,0.29,0.16,0.14,0.23,0.12,0.05,0.17,Crime
0.74,0.4,0.32,0.37,0.19,0.3,0.22,0.11,0.2,Horror
0.8,0.43,0.65,0.16,0.31,0.14,0.07,0.07,0.07,Action
0.65,0.65,0.63,0.29,0.46,0.51,0.35,0.31,0.24,Comedy
0.64,0.52,0.32,0.46,0.25,0.36,0.45,0.24,0.36,Drama
0.53,0.33,0.23,0.36,0.16,0.33,0.29,0.12,0.31,Comedy
0.75,0.46,0.82,0.1,0.3,0.13,0.05,0.05,0.05,Comedy
0.72,0.39,0.23,0.67,0.17,0.34,0.67,0.28,0.54,Action
0.55,0.56,0.46,0.41,0.16,0.16,0.15,0.07,0.32,Crime
0.6,0.6,0.31,0.68,0.27,0.42,0.68,0.38,0.45,Comedy
0.67,0.36,0.32,0.26,0.39,0.67,0.51,0.38,0.21,Biography
0.79,0.55,0.64,0.11,0.32,0.29,0.16,0.12,0.18,Action
0.52,0.31,0.33,0.35,0.19,0.33,0.28,0.13,0.29,Comedy
0.69,0.46,0.27,0.47,0.16,0.25,0.31,0.13,0.35,Biography
0.55,0.64,0.43,0.47,0.37,0.44,0.44,0.32,0.34,Adventure
0.45,0.81,0.51,0.43,0.27,0.3,0.35,0.2,0.43,Biography
0.49,0.49,0.19,0.56,0.19,0.42,0.51,0.23,0.32,Action
0.63,0.46,0.33,0.68,0.13,0.14,0.26,0.1,0.47,Drama
0.74,0.13,0.46,0.11,0.1,0.08,0.02,0.01,0.09,Action
0.43,0.32,0.07,0.23,0.09,0.33,0.32,0.1,0.28,Biography
0.53,0.45,0.29,0.51,0.1,0.16,0.18,0.06,0.34,Action
0.62,0.44,0.3,0.55,0.14,0.22,0.24,0.1,0.49,Drama
0.5,0.33,0.42,0.25,0.17,0.25,0.16,0.08,0.22,Drama
0.79,0.5,0.33,0.6,0.2,0.26,0.29,0.14,0.3,Comedy
0.84,0.38,0.64,0.04,0.24,0.23,0.11,0.07,0.16,Horror
0.58,0.9,0.83,0.14,0.16,0.09,0.05,0.03,0.2,Comedy
0.62,0.61,0.56,0.34,0.28,0.28,0.22,0.14,0.26,Adventure
0.7,0.47,0.43,0.5,0.2,0.25,0.2,0.11,0.24,Comedy
0.77,0.2,0.17,0.19,0.15,0.38,0.28,0.11,0.25,Drama
0.64,0.43,0.31,0.37,0.22,0.34,0.3,0.16,0.27,Action
0.77,0.52,0.33,0.51,0.27,0.51,0.59,0.33,0.35,Biography
0.75,0.36,0.11,0.26,0.12,0.31,0.24,0.09,0.2,Comedy
0.64,0.47,0.44,0.29,0.26,0.35,0.29,0.17,0.3,Action
0.4,0.41,0.26,0.71,0.12,0.18,0.24,0.09,0.38,Crime
0.69,0.54,0.27,0.61,0.2,0.33,0.49,0.23,0.39,Comedy
0.67,0.51,0.32,0.44,0.22,0.33,0.31,0.16,0.3,Comedy
0.58,0.26,0.09,0.33,0.13,0.4,0.32,0.12,0.25,Adventure
0.36,0.58,0.42,0.6,0.19,0.25,0.31,0.14,0.4,Comedy
0.52,0.63,0.34,0.56,0.25,0.34,0.53,0.28,0.45,Action
0.51,0.39,0.12,0.39,0.12,0.38,0.38,0.14,0.28,Drama
0.61,0.4,0.32,0.4,0.19,0.29,0.27,0.13,0.28,Drama
0.87,0.45,0.66,0.28,0.49,0.44,0.23,0.23,0.14,Horror
0.9,0.43,0.49,0.29,0.23,0.23,0.13,0.08,0.14,Drama
0.59,0.51,0.24,0.55,0.19,0.41,0.4,0.18,0.24,Comedy
0.67,0.4,0.36,0.42,0.25,0.33,0.27,0.15,0.29,Comedy
0.81,0.48,0.1,0.56,0.23,0.72,0.85,0.42,0.25,Drama
0.24,0.33,0.15,0.62,0.03,0.03,0.11,0.03,0.56,Drama
0.88,0.56,0.43,0.64,0.18,0.22,0.2,0.1,0.22,Comedy
0.39,0.35,0.17,0.38,0.11,0.3,0.27,0.09,0.29,Crime
0.87,0.49,0.76,0.37,0.49,0.22,0.13,0.15,0.07,Drama
0.76,0.45,0.08,0.44,0.16,0.48,0.59,0.24,0.31,Comedy
0.78,0.59,0.37,0.71,0.23,0.31,0.48,0.24,0.42,Drama
0.55,0.48,0.32,0.41,0.18,0.27,0.29,0.13,0.35,Action
0.37,0.42,0.32,0.73,0.11,0.19,0.32,0.11,0.53,Action
0.62,0.41,0.23,0.46,0.16,0.3,0.31,0.13,0.3,Crime
0.85,0.92,0.84,0.22,0.19,0.09,0.06,0.04,0.17,Horror
0.65,0.43,0.51,0.25,0.28,0.3,0.19,0.13,0.23,Adventure
0.98,0.46,0.72,0.23,0.39,0.28,0.13,0.12,0.1,Action
0.66,0.42,0.76,0.05,0.16,0.04,0.01,0.02,0.06,Comedy
0.14,0.3,0.15,0.3,0.04,0.11,0.14,0.04,0.38,Crime
0.4,0.62,0.37,0.58,0.23,0.33,0.44,0.23,0.43,Action
0.54,0.46,0.24,0.62,0.18,0.38,0.5,0.22,0.37,Action
0.76,0.29,0.19,0.29,0.17,0.42,0.35,0.15,0.25,Comedy
0.66,0.85,0.73,0.34,0.3,0.34,0.33,0.21,0.41,Action
0.61,0.66,0.57,0.3,0.23,0.27,0.21,0.12,0.29,Action
0.73,0.47,0.23,0.46,0.14,0.27,0.25,0.1,0.25,Comedy
0.66,0.36,0.24,0.34,0.16,0.47,0.41,0.17,0.24,Drama
0.67,0.63,0.39,0.68,0.17,0.2,0.35,0.15,0.43,Action
0.64,0.56,0.15,0.54,0.2,0.48,0.67,0.31,0.43,Biography
0.74,0.47,0.32,0.54,0.29,0.47,0.49,0.29,0.31,Action
0.76,0.49,0.3,0.44,0.35,0.57,0.61,0.41,0.31,Crime
0.52,0.53,0.38,0.42,0.18,0.19,0.17,0.08,0.27,Comedy
0.42,0.54,0.35,0.53,0.16,0.21,0.22,0.1,0.37,Drama
0.64,0.45,0.28,0.45,0.14,0.24,0.19,0.08,0.22,Action
0.4,0.43,0.24,0.45,0.11,0.2,0.23,0.08,0.39,Action
0.82,0.39,0.36,0.23,0.27,0.4,0.29,0.17,0.23,Drama
0.73,0.54,0.31,0.64,0.3,0.5,0.65,0.39,0.35,Action
0.82,1,0.89,0.25,0.26,0.08,0.07,0.06,0.18,Horror
0.96,0.36,0.15,0.38,0.21,0.52,0.45,0.22,0.25,Comedy
0.6,0.55,0.73,0.1,0.24,0.14,0.06,0.05,0.14,Action
0.61,0.68,0.39,0.67,0.38,0.54,0.86,0.59,0.48,Comedy
0.66,0.35,0.42,0.21,0.27,0.37,0.25,0.16,0.26,Action
0.57,0.25,0.4,0.17,0.25,0.35,0.19,0.12,0.17,Drama
0.64,0.56,0.5,0.44,0.22,0.24,0.21,0.12,0.3,Action
0.75,0.49,0.42,0.69,0.22,0.25,0.26,0.14,0.31,Comedy
0.4,0.48,0.31,0.38,0.18,0.31,0.34,0.15,0.35,Crime
0.59,0.7,0.34,0.62,0.22,0.34,0.69,0.34,0.66,Crime
0.67,0.43,0.52,0.4,0.21,0.25,0.18,0.1,0.24,Biography
0.59,0.45,0.34,0.43,0.26,0.4,0.41,0.23,0.34,Action
0.55,0.6,0.49,0.28,0.25,0.35,0.31,0.17,0.33,Action
0.56,0.32,0.31,0.4,0.13,0.23,0.23,0.09,0.32,Drama
